Submission Time,Status,Role,In-Person Comfort,Learning Preference
6/12/2020 16:07,Completed,District Certified Staff,Comfortable,In-Person
6/12/2020 15:52,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 15:58,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 15:52,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 15:58,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:01,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 15:59,Completed,Teacher,Very Uncomfortable,In-Person
6/12/2020 16:00,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:09,Completed,District Certified Staff,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:02,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 15:58,Completed,School Admin,Very Comfortable,In-Person
6/12/2020 15:58,Completed,Teacher,Very Comfortable,Digital Only
6/12/2020 16:04,Completed,District Certified Staff,Very Comfortable,In-Person
6/12/2020 16:02,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:01,Completed,Teacher,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:13,Completed,District Classified Staff,Comfortable,In-Person
6/12/2020 16:06,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,In-Person
6/12/2020 16:06,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:03,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:06,Completed,Teacher,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:37,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,In-Person
