Submission Time,Status,Role,In-Person Comfort,Learning Preference,DigitalHybridInPerson
2020-06-12 16:07:00 UTC,Completed,District Certified Staff,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 15:52:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,Digital Only,"Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 15:58:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)","Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 15:52:00 UTC,Completed,Teacher,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 15:58:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,Digital Only,"Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:01:00 UTC,Completed,Teacher,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 15:59:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,In-Person,In-Person
2020-06-12 16:00:00 UTC,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Uncomfortable/Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)","Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:09:00 UTC,Completed,District Certified Staff,Very Uncomfortable/Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)","Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:02:00 UTC,Completed,Teacher,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 15:58:00 UTC,Completed,School Admin,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 15:58:00 UTC,Completed,Teacher,Very Comfortable/Comfortable,Digital Only,"Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:04:00 UTC,Completed,District Certified Staff,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 16:02:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,Digital Only,"Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:01:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)","Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:13:00 UTC,Completed,District Classified Staff,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 16:06:00 UTC,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 16:06:00 UTC,Completed,Teacher,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 16:03:00 UTC,Completed,Teacher,Very Comfortable/Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)","Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:05:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,Digital Only,"Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:06:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)","Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:37:00 UTC,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 16:07:00 UTC,Completed,Teacher,Very Comfortable/Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)","Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:07:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,Digital Only,"Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:35:00 UTC,Completed,Teacher,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 16:08:00 UTC,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Uncomfortable/Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)","Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
2020-06-12 16:04:00 UTC,Completed,Teacher,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 16:06:00 UTC,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 16:03:00 UTC,Completed,District Classified Staff,Very Comfortable/Comfortable,In-Person,In-Person
2020-06-12 16:11:00 UTC,Completed,Teacher,Very Uncomfortable/Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)","Digital or Hybrid (K-2 In-Person, 3-12 Digital)"
